id,filename,artist,title,year
402,00402.jpeg,Caravaggio,Portrait Of The Cortesean Fillide Meladroni,1599
403,00403.jpeg,Caravaggio,Head Of The Medusa,1598
404,00404.jpeg,Caravaggio,St. John The Baptist,1603
405,00405.jpeg,Leonardo Da Vinci,Portrait Of Ginevra De' Benci,1480
406,00406.jpeg,Leonardo Da Vinci,Lady With An Ermine,1490
407,00407.jpeg,Leonardo Da Vinci,Madonna Of The Yarnwinder,1507
408,00408.jpeg,Leonardo Da Vinci,Lady And Her Children,1513
409,00409.jpeg,Leonardo Da Vinci,Anatomical Analysis Of The Movements Of The Shoulder And Neck,1510
410,00410.jpeg,Leonardo Da Vinci,Sheet Of Studies Of Cats,1515
411,00411.jpeg,Giovanni Bianco,Madonna - Confessions,2006
412,00412.jpeg,Jorge Carrozzino,El Hombre Que Se Comió Un Autobus,1969
413,00413.jpeg,Dicken Castro,Xi Cumbre De Paises No Alineados,1995
414,00414.jpeg,Dicken Castro,I Bienial Columbiana De Aequilectura,1962
415,00415.jpeg,Carlos Cruz-Diez,La Calidad De La Vida,1974
416,00416.jpeg,Kiko Farkas,Sao Paulo Symphony Orchestra,2006
417,00417.jpeg,Gillermo Gonzáles-Ruiz,La Ribera De Buenos Aires,2001
418,00418.jpeg,John Moore,Makiritare,2000
419,00419.jpeg,Erik Nitsche,Fortune Magazine Cover,1954
420,00420.jpeg,Alex Steinweiss,Contrasts In Hi-Fi,1958
421,00421.jpeg,Alex Steinweiss,Marches,1941
422,00422.jpeg,Alex Steinweiss,Encores,1947
423,00423.jpeg,Alex Steinweiss,Calypso,1957
424,00424.jpeg,Peter Saville,"Power, Corruption, And Lies",1983
425,00425.jpeg,Peter Saville,Movement,1981
426,00426.jpeg,Peter Saville,A Factory Sample,1978
427,00427.jpeg,The Designers Republic,Windowlicker,1999
428,00428.jpeg,The Designers Republic,Dr. Sissy - Dr. Deth Toy,1993
429,00429.jpeg,Louise Fili,Sfida Wine Labels,2000
430,00430.jpeg,"Big Actice, Mat Maitland, Gerard Saint, Beck",The Information,2006
431,00431.jpeg,Peter Saville,Blue Monday,1983
432,00432.jpeg,Raymond Lowey,Lucky Strike,1942
433,00433.jpeg,Magic Egg,Dr. Bronner'S Magic Soap,1960
434,00434.jpeg,Arthur Paul,Playboy,1967
435,00435.jpeg,Paul Sahre,Sva Poster,2006
436,00436.jpeg,Pablo Picasso,Man With A Cap,1895
437,00437.jpeg,Pablo Picasso,Head Of A Crying Woman,1903
438,00438.jpeg,Pablo Picasso,Jeanne,1901
439,00439.jpeg,Pablo Picasso,Nude With Legs Crossed,1905
440,00440.jpeg,Pablo Picasso,Self Portraits,1907
441,00441.jpeg,Pablo Picasso,Violin,1912
442,00442.jpeg,Pablo Picasso,"Glass, Bottle Of Wine, Packet Of Tobacco, And Newspaper",1914
443,00443.jpeg,Pablo Picasso,Guitar,1915
444,00444.jpeg,Pablo Picasso,Guitar And Bottle Of Bass,1915
445,00445.jpeg,Pablo Picasso,Glass And Packet Of Tobacco,1914
446,00446.jpeg,Pablo Picasso,The Swimmer,1929
447,00447.jpeg,Pablo Picasso,Lare Still Life With A Pedestal Table,1931
448,00448.jpeg,Pablo Picasso,Head On A Red Background,1930
449,00449.jpeg,Pablo Picasso,Pregnant Woman,1969
450,00450.jpeg,Pablo Picasso,"Claude Drawing, Françoise And Paloma",1954
451,00451.jpeg,Pablo Picasso,Bull'S Head,1942
452,00452.jpeg,Pablo Picasso,Woman With Outstretched Arms,1961
453,00453.jpeg,William Eggleston,Plates,2016
454,00454.jpeg,William Eggleston,Plates,2016
